[2025-08-11T13:07:37.265754100] Count: 1 | Avg: 584.00ms | StdDev: 0.00 | Median: 584ms | P90: 584ms | P95: 584ms | P99: 584ms | Min: 584ms | Max: 584ms
[2025-08-11T13:07:37.265754100] Count: 1 | Avg: 582.00ms | StdDev: 0.00 | Median: 582ms | P90: 582ms | P95: 582ms | P99: 582ms | Min: 582ms | Max: 582ms
[2025-08-11T13:07:37.265754100] Count: 1 | Avg: 582.00ms | StdDev: 0.00 | Median: 582ms | P90: 582ms | P95: 582ms | P99: 582ms | Min: 582ms | Max: 582ms
[2025-08-11T13:07:37.265754100] Count: 1 | Avg: 582.00ms | StdDev: 0.00 | Median: 582ms | P90: 582ms | P95: 582ms | P99: 582ms | Min: 582ms | Max: 582ms
[2025-08-11T13:07:37.265754100] Count: 1 | Avg: 583.00ms | StdDev: 0.00 | Median: 583ms | P90: 583ms | P95: 583ms | P99: 583ms | Min: 583ms | Max: 583ms
[2025-08-11T13:07:37.265754100] Count: 1 | Avg: 582.00ms | StdDev: 0.00 | Median: 582ms | P90: 582ms | P95: 582ms | P99: 582ms | Min: 582ms | Max: 582ms
[2025-08-11T13:07:37.293294300] Count: 1 | Avg: 16.00ms | StdDev: 0.00 | Median: 16ms | P90: 16ms | P95: 16ms | P99: 16ms | Min: 16ms | Max: 16ms
[2025-08-11T13:07:37.294293300] Count: 1 | Avg: 17.00ms | StdDev: 0.00 | Median: 17ms | P90: 17ms | P95: 17ms | P99: 17ms | Min: 17ms | Max: 17ms
[2025-08-11T13:07:37.300288800] Count: 1 | Avg: 21.00ms | StdDev: 0.00 | Median: 21ms | P90: 21ms | P95: 21ms | P99: 21ms | Min: 21ms | Max: 21ms
[2025-08-11T13:07:37.318290500] Count: 1 | Avg: 43.00ms | StdDev: 0.00 | Median: 43ms | P90: 43ms | P95: 43ms | P99: 43ms | Min: 43ms | Max: 43ms
[2025-08-11T13:07:37.320289200] Count: 1 | Avg: 20.00ms | StdDev: 0.00 | Median: 20ms | P90: 20ms | P95: 20ms | P99: 20ms | Min: 20ms | Max: 20ms
